list_name,name,label,,district,
status_list,refugee_settlement,Refugee settlement,,,
status_list,host_community,Host community,,,
status_list,high_risk_district,Low_risk_district,,,
status_list,low_risk_district,High_risk_district,,,
,,,,,
refugee_settlement_list,adjumani,Adjumani,,,
refugee_settlement_list,bidibidi ,Bidibidi ,,,
refugee_settlement_list,imvepi ,Imvepi ,,,
refugee_settlement_list,kiryandongo ,Kiryandongo ,,,
refugee_settlement_list,kyaka II,Kyaka II,,,
refugee_settlement_list,kyangwali ,Kyangwali ,,,
refugee_settlement_list,lobule ,Lobule ,,,
refugee_settlement_list,nakivale ,Nakivale ,,,
refugee_settlement_list,oruchinga ,Oruchinga ,,,
refugee_settlement_list,palabek ,Palabek ,,,
refugee_settlement_list,palorinya ,Palorinya ,,,
refugee_settlement_list,rhino ,Rhino ,,,
refugee_settlement_list,rwamwanja ,Rwamwanja ,,,
,,,,,
district_list,adjumani,Adjumani,,,
district_list,arua,Arua,,,
district_list,isingiro,Isingiro,,,
district_list,kamwenge,Kamwenge,,,
district_list,kikuube,Kikuube,,,
district_list,kiryandongo,Kiryandongo,,,
district_list,koboko,Koboko,,,
district_list,kyegegwa,Kyegegwa,,,
district_list,yumbe,Yumbe,,,
district_list,amuru,Amuru,,,
district_list,tororo,Tororo,,,
district_list,kampala,Kampala,,,
district_list,pakwach,Pakwach,,,
,,,,,
sub_county_div_list,adjumani town council,Adjumani Town Council,,adjumani,
sub_county_div_list,adropi,Adropi,,adjumani,
sub_county_div_list,arinyapi,Arinyapi,,adjumani,
sub_county_div_list,ciforo,Ciforo,,adjumani,
sub_county_div_list,dzaipi,Dzaipi,,adjumani,
sub_county_div_list,itirikwa,Itirikwa,,adjumani,
sub_county_div_list,ofua,Ofua,,adjumani,
sub_county_div_list,ukusijoni,Ukusijoni,,adjumani,
sub_county_div_list,pacara,Pacara,,adjumani,
sub_county_div_list,pakele,Pakele,,adjumani,
sub_county_div_list,arua hill division,Arua Hill Division,,arua,
sub_county_div_list,river oli division,River Oli Division,,arua,
sub_county_div_list,adumi,Adumi,,arua,
