type,name,label,hint,required,relevant,choice_filter,appearance,constraint,constraint_message,repeat_count,calculation
start,start,,,,,,,,,,
end,end,,,,,,,,,,
today,today,,,,,,,,,,
deviceid,deviceid,,,,,,,,,,
text,enumerator,Name of enumerator,,true,,,,,,,
note,instruction_note,Respondents should be 18 years and above. Exception is given to child headed  households aged 15 to 17.,,,,,,,,,
select_one yn_list,consent,My name is ${enumerator}. We are conducting  a Risk Communication Community Engagement (RCCE) Assessment on behalf of U-Learn. With this assessment we aim to support the Covid-19 related risk communication activities. Any information that you provide will be confidential and anonymous. This is voluntary and you can choose not to answer any or all of the questions; however we hope that you will participate since your views are important.  Do you have any questions? Are you willing to be interviewed?,,true,,,,,,,
begin group,A,Introduction,,,"selected(${consent}, ""yes"")",,,,,,
select_one district_list,district_name,In which district is the interview conducted?,Do not ask,true,,,,,,,
select_one sub_county_div_list,sub_county_div,In which sub-county/division of ${district_name} is the interview conducted?,Do not ask,true,,district = ${district_name},minimal,,,,
select_one nationality_list,nationality,What is your nationality?,,true,,,,,,,
text,nationality_other,What is your nationality?,"Other, please specify:",true,"selected(${nationality}, ""other"")",,,,,,
select_one yn_list,status,Are you a refugee?,,true,"not(selected(${nationality}, ""ugandan""))",,,,,,
note,instruction_note2,We would also like to ask you questions about your perception on the aid you receive as a refugee. We would like to know about general refugee response and how do you feel about the aid response. ,,,"selected(${status}, ""yes"")",,,,,,
select_one refugee_settlement_list,refugee_settlement,In which refugee settlement is this interview taking place?,Do not ask,true,"selected(${status}, ""yes"")",,,,,,
integer,point_number,What is the number of the point on the map you are surveying at?,,true,,,,.>0,,,
end group,,,,,,,,,,,
begin group,B,Demographics,,,"selected(${consent}, ""yes"")",,,,,,
select_one marital_status_list,marital_status,What is the marital status of the of the respondent?,,true,,,,,,,
select_one sex_list,respondent_sex,Sex of respondent,"Do not ask this question, use observation.",true,,,,,,,
integer,respondent_age,How old are you?,"Respondent must be at least 18 years. Only accept 15 years if head of the household, cancel the survey and proceed to the next sample.",true,,,,.>=15 and . <= 120,The inputted age is below 10 or above 120.,,
select_one yn_dk_list,head_hh,Are you the head of the household?,,true,,,,,,,
integer,hh_members,"How many individuals, including yourself, are part of your household?","Members of the household who regularly share resources, such as water, food, and living space; not temporary visitors such as friends and family",true,,,,.>0 and.<= 40,"The household size cannot be zero, and must be less than 40 people.",,
select_one education_level_list,respondent_education,What is the highest level of formal education that you reached?,,true,,,,,,,
select_one economic_activity_list,economic_activity,What is your current predominant income generating activity?,,true,,,,,,,
text,economic_activity_other,What is your current predominant income generating activity?,"Other, please specify:",true,"selected(${economic_activity}, ""other"")",,,,,,
select_one yn_dk_list,chronic_illness_disease,Do you have a chronic illness or disease?,"Enumerator: chronic illness / disease is a condition that persist over time and require ongoing medical attention (diabetes, heart disease, cancer, asthma, etc)",true,,,,,,,
select_one yn_dk_list,difficulty_seeing,"Do you have severe difficulty seeing, even if wearing glasses (if they have glasses)?","Enumerator ask: "" Can you see me well?""",true,,,,,,,
